objID,ra,dec,z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
1237648722849300671,198.210217726221,1.08864267252968,0.02613533,18.12726,17.04785,16.70501,16.63464,16.45093,18.06417,16.98937,16.61284,16.45877,16.32404
1237649918434410575,27.9702209054429,12.6018793905062,0.04460259,17.99806,16.54003,15.8744,15.47947,15.22371,17.94691,16.53058,15.83598,15.444,15.1453
1237649919500746869,10.6030361760497,14.7006035196264,0.03839867,17.98362,16.42505,15.72751,15.40352,15.37105,18.0464,16.44967,15.7445,15.43658,15.1207
1237649921119813705,30.7081675814566,14.5205935445092,0.03196395,17.1388,16.22961,15.94426,15.7184,15.63305,16.88786,16.06338,15.81706,15.61436,15.47262
1237649921120927914,33.1943587152329,14.1420632392283,0.02614906,20.24826,18.56238,17.86377,17.50325,17.68081,20.10983,18.46841,17.83289,17.49739,17.39659
1237650760781725830,184.024800452114,-3.30483509077466,0.04542769,17.18375,15.72002,14.94803,14.54661,14.2718,17.38499,15.64407,14.81282,14.3835,14.06689
1237650760786378834,194.77094698813,-3.1457628601368,0.04739839,17.13259,15.627,14.99678,14.622,14.34663,17.39455,15.76077,15.03492,14.63871,14.33542
1237650761857696112,189.191176861871,-2.32745096620813,0.0235806,18.7781,18.11027,17.72612,17.42085,17.48971,18.9487,18.06031,17.6497,17.43219,17.30771
1237650796749914324,130.283894930155,0.576050463271776,0.0418243,18.75639,17.15011,16.33683,15.86115,15.52885,18.77489,17.21648,16.37719,15.89636,15.53777
1237651066280214731,189.18476194294,64.8546736349463,0.02386411,18.89066,17.86121,17.43044,17.25787,17.1045,18.95692,17.89423,17.51775,17.33315,17.17188
1237651190817751237,124.14563363524,45.7294739315422,0.04960963,18.64683,17.32555,16.64533,16.36633,16.12841,19.19278,17.57736,16.81005,16.45755,16.15824
1237651190823518461,138.45810256044,55.3764373525247,0.04788809,18.54116,17.10715,16.57084,16.16349,16.02722,18.75458,17.17529,16.55417,16.19676,15.94758
1237651191357440158,129.798783200219,51.0483824743453,0.04672018,18.16428,16.65857,16.21856,15.97477,16.1119,17.93552,16.66366,16.15855,15.91091,15.81726
1237651191894114452,128.946362904754,50.9298888179386,0.03037586,19.12091,18.13932,17.59317,17.26554,17.05739,18.98365,17.96264,17.46053,17.16365,17.01279
1237651192431771815,130.278460536082,52.5252854450529,0.04199085,17.93264,16.60459,15.98813,15.60606,15.384,17.84399,16.54929,15.90067,15.53598,15.29441
1237651192436228254,143.717812742439,59.419829921599,0.04775752,19.36732,17.84832,17.06444,16.5901,16.39192,19.51579,17.85332,17.02093,16.53545,16.20899
1237651192436228346,143.746446941162,59.3230727609773,0.04034683,18.96498,17.88292,17.44979,17.20995,17.31161,18.92191,17.76102,17.44388,17.22762,17.18384
1237651203695050900,199.581161392077,-0.171254190599618,0.04844511,19.69394,18.00249,17.19238,16.80662,16.51743,19.69168,17.95566,17.13101,16.73965,16.4406
1237663543676240443,314.828486378081,0.245699988222588,0.03044658,19.00187,16.92941,16.4134,16.05316,16.20002,18.57694,16.99385,16.41779,16.06376,15.93193
1237663544213046038,314.764642883986,0.744666268621115,0.04725496,19.75908,18.37503,17.83906,17.55302,17.40493,19.88362,18.45257,17.86834,17.55405,17.35562
1237663783674445999,31.8401021773539,-0.313859867270095,0.04174664,19.66349,18.41737,17.89128,17.63704,17.36111,19.77272,18.39088,17.89371,17.60242,17.43459
1237663783678181395,40.3212429361558,-0.231211628984606,0.03078178,18.52328,17.44949,16.9794,16.72392,16.52745,18.31826,17.35348,16.89397,16.64881,16.44865
1237663784215052419,40.3408255035336,0.0581358441124196,0.02267822,19.42834,18.25563,17.76162,17.51426,17.30797,19.38883,18.29948,17.80668,17.55415,17.29165
1237665354548903998,246.256286273644,41.3204571849666,0.03061324,18.17697,16.77011,16.32235,16.14508,15.99122,17.92331,16.7464,16.33152,16.11068,15.93766
1237665569295565161,251.963090703624,45.1237363642295,0.03082075,17.71679,16.80765,16.42129,16.21802,16.17156,18.01077,16.81971,16.37701,16.14755,15.97348
