  cls    ig     type   clase    smass     u         g        r         sfr      Mcoldgas  Mhotgas  Tau    OH       bt    ssfr    
  24     174994   0      BS     9.58     -16.156   -17.69    -18.52    99.0     99.0     6.382    5.048   13.996   0.325   99.0     
  4      32300    0      IL     9.055    -17.616   -18.38    -18.701   -0.489   9.587    10.173   2.482   9.498    0.0     -9.544   
  27     23431    0      BS     9.996    -17.412   -18.475   -19.179   -0.197   9.237    10.345   5.597   9.935    0.131   -10.193  
  14     45036    0      IN     9.02     -17.146   -17.942   -18.317   -0.675   8.996    10.125   3.072   9.609    0.0     -9.695   
  13     203969   1      IL     9.17     -17.892   -18.611   -18.926   -0.348   9.421    10.216   2.309   9.792    0.0     -9.518   
  30     16990    0      BS     10.235   -18.35    -19.435   -20.115   -0.086   9.287    10.469   4.285   10.2     0.523   -10.321  
  13     204079   1      IN     9.629    -17.137   -18.213   -18.848   -0.807   8.686    10.187   4.747   10.026   0.182   -10.436  
  24     232458   1      RI     9.003    -17.002   -17.811   -18.181   -0.739   9.117    9.94     3.66    9.718    0.0     -9.742   
  31     185743   1      IL     9.066    -17.391   -18.168   -18.513   -0.552   9.301    10.103   2.744   9.664    0.0     -9.618   
  19     9793     0      IL     9.935    -19.458   -20.198   -20.562   0.419    10.148   10.805   2.659   9.765    0.304   -9.516   
  1      14351    0      IL     10.099   -19.272   -20.031   -20.455   0.359    9.934    10.595   3.804   10.218   0.0     -9.74    
  7      30440    0      IL     9.152    -17.984   -18.758   -19.063   -0.243   9.439    10.274   2.241   9.581    0.0     -9.395   
  8      198928   1      RI     10.449   -19.758   -20.59    -21.078   0.677    10.007   10.686   3.623   10.35    0.177   -9.772   
