 cls ig      ra           dec       ty 
  9   7      44.37667       5.31972  3
  9   8      43.97792       5.35278  3
  9   9      43.09583       5.40861  3
  9  10      44.04167       5.40667  2
  9  11      44.42542       5.51472  2
  9  12      44.38000       5.51333  3
  9  13      44.30125       5.50250  2
  9  14      43.96667       5.46944  2
  9  15      43.77583       5.47167  2
  9  16      43.52625       5.48833  3
  9  17      44.29208       5.54417  1
  9  18      44.26833       5.56111  3
  9  19      43.83250       5.58278  2
  9  20      44.37583       5.60694  3
  9  21      43.88750       5.63694  2
  9  22      43.83000       5.58694  3
  9  23      43.77708       5.62583  3
  9  24      43.25250       5.62361  3
  9  25      43.89625       5.70472  2
  9  26      43.77000       5.66528  2
  9  27      43.55792       5.67139  2
  9  28      44.28167       5.74667  2
  9  29      43.90167       5.71694  1
  9  30      43.78083       5.75167  3
  9  31      43.68500       5.74611  2
  9  32      43.61167       5.71833  1
  9  33      43.50792       5.71111  2
  9  34      43.41250       5.76361  3
  9  35      44.33917       5.76917  3
  9  36      44.29375       5.79417  3
