 logrho,rho,tipo
   1.67482352     ,   47.2959099     ,           1
   1.48228359     ,   30.3587265     ,           2
   1.82003939     ,   66.0753403     ,           1
   1.63551366     ,   43.2029762     ,           1
   1.18864679     ,   15.4399824     ,           2
   1.38772595     ,   24.4188938     ,           3
   1.51266658     ,   32.5586662     ,           2
   1.56264114     ,   36.5292816     ,           1
   1.50953090     ,   32.3244286     ,           3
   1.18124783     ,   15.1791639     ,           1
   1.31011987     ,   20.4230137     ,           2
   1.27233040     ,   18.7210598     ,           1
   1.15285158     ,   14.2184277     ,           4
   1.40212417     ,   25.2420216     ,           4
   1.22278821     ,   16.7027607     ,           2
  0.657755733     ,   4.54732227     ,           3
   1.17397285     ,   14.9270115     ,           1
  0.945813477     ,   8.82700729     ,           2
  0.763779998     ,   5.80470276     ,           2
  0.519278824     ,   3.30581713     ,           3
  0.905117452     ,   8.03743458     ,           4
  0.414186686     ,   2.59529471     ,           2
  0.797706962     ,   6.27634716     ,           3
  0.932406604     ,   8.55867672     ,           1
  0.932406604     ,   8.55867672     ,           1
   1.10289490     ,   12.6734514     ,           1
  0.827670455     ,   6.72466135     ,           2
  0.845768869     ,   7.01082039     ,           1
  0.938083768     ,   8.67129135     ,           2
  0.961564958     ,   9.15303135     ,           2
   1.19564939     ,   15.6909561     ,           2
   1.07071018     ,   11.7682037     ,           2
   1.23911536     ,   17.3426437     ,           1
   1.20611501     ,   16.0736675     ,           2
   1.13765717     ,   13.7295780     ,           3
   1.11992836     ,   13.1803923     ,           3
   1.13765717     ,   13.7295780     ,           2
   1.07071018     ,   11.7682037     ,           3
   1.05547011     ,   11.3624010     ,           1
  0.949665666     ,   8.90565109     ,           3
   1.17544603     ,   14.9777288     ,           2
   1.13765717     ,   13.7295780     ,           2
   1.31374907     ,   20.5943966     ,           2
   1.11992836     ,   13.1803923     ,           2
   1.40392590     ,   25.3469639     ,           3
   1.49668026     ,   31.3819714     ,           3
   1.58845079     ,   38.7659798     ,           2
   1.58845079     ,   38.7659798     ,           2
